PROGRAM (1, 1) "program"
IDENTIFIER (1, 9) "example"
SEMICOLON (1, 16) ";"
VAR (2, 1) "var"
IDENTIFIER (3, 3) "x"
COLON (3, 4) ":"
IDENTIFIER (3, 6) "inTeger"
SEMICOLON (3, 13) ";"
IDENTIFIER (4, 3) "str"
COLON (4, 6) ":"
ARRAY (4, 8) "array"
LEFT_BRACKET (4, 13) "["
BAD (4, 14) "1."
DOT (4, 16) "."
INTEGER (4, 17) "10"
RIGHT_BRACKET (4, 19) "]"
OF (4, 21) "of"
IDENTIFIER (4, 24) "integer"
SEMICOLON (4, 31) ";"
BEGIN (5, 1) "begin"
IDENTIFIER (7, 3) "x"
ASSIGN (7, 5) ":="
FLOAT (7, 8) "110.1e-89"
SEMICOLON (7, 17) ";"
IDENTIFIER (8, 3) "ch"
ASSIGN (8, 6) ":="
BAD (8, 9) "'abc;"
BAD (15, 15) ""
BAD (16, 1) "123.abcd"
IDENTIFIER (17, 3) "if1"
EQ (17, 7) "="
IDENTIFIER (17, 9) "var1"
PLUS (17, 14) "+"
MINUS (17, 15) "-"
IDENTIFIER (17, 17) "elseend"
IDENTIFIER (18, 3) "x"
NOT_EQ (18, 5) "<>"
INTEGER (18, 8) "0"
THEN (19, 3) "then"
IDENTIFIER (20, 5) "x"
EQ (20, 7) "="
BAD (20, 9) "42213457689087656432578876543245678907654"
MINUS (20, 51) "-"
INTEGER (20, 53) "10"
ELSE (21, 3) "else"
IDENTIFIER (22, 5) "x"
EQ (22, 7) "="
INTEGER (22, 9) "22"
PLUS (22, 12) "+"
INTEGER (22, 14) "10"
IDENTIFIER (23, 3) "str"
LEFT_BRACKET (23, 6) "["
INTEGER (23, 7) "1"
RIGHT_BRACKET (23, 8) "]"
ASSIGN (23, 10) ":="
LEFT_PAREN (23, 13) "("
IDENTIFIER (23, 14) "x"
PLUS (23, 16) "+"
FLOAT (23, 18) "3.14"
RIGHT_PAREN (23, 22) ")"
SEMICOLON (23, 23) ";"
END (24, 1) "end"
DOT (24, 4) "."
